in:Floor height m	in:window tilt degrees	in:sill height	in:Hzl glz percent	in:SF	in:Blind position	out:minimum Daylight	out:Average daylight	out:Maximum solar heat gain kWh/m²	out:Cooling load kWh/m²	out:Heating load kWh/m²	out:Lighting kWh/m²
82.5	8	0.425	0.8	32	0	40.19025	62.389351	38.27861	7.545635	3.342618	9.503185
43.75	11.5	0.238	0.9	38	0	45.342846	65.724226	53.790704	8.596303	4.18143	8.979453
121.25	4.5	0.613	0.7	27	1	36.068173	60.342626	28.240105	7.067837	2.859843	9.522994
24.375	9.75	0.706	0.95	32	1	36.068173	61.544898	39.300877	7.792447	3.712335	9.382797
101.875	2.75	0.331	0.75	38	0	54.617519	70.833884	51.68736	8.41806	2.866525	8.742886
63.125	6.25	0.519	0.65	27	0	20.610384	47.976395	24.091646	6.830429	3.019538	11.383694
140.625	13.25	0.144	0.85	32	1	53.587	69.388294	48.99816	8.160416	3.61592	8.448124
14.688	14.125	0.566	0.725	38	1	44.312327	61.931343	36.584943	7.957924	2.760988	10.427146
92.188	7.125	0.191	0.925	27	0	43.281807	64.207073	39.392583	7.394498	4.648869	9.334835
53.438	3.625	0.753	0.825	32	0	37.098692	61.874092	35.159864	7.371944	3.253277	10.074645
130.938	10.625	0.378	0.625	27	1	27.824019	54.245387	26.670257	6.81218	2.824519	9.833714
34.063	5.375	0.284	0.875	32	1	41.220769	63.419871	45.388419	8.292463	4.249198	9.196596
111.563	12.375	0.659	0.675	38	0	36.068173	61.24433	36.940233	7.479106	2.456021	9.519795
72.813	8.875	0.097	0.775	27	0	28.854538	54.732021	33.661891	7.153501	4.206789	10.015766
150.313	1.875	0.472	0.975	38	1	70.075307	80.967323	64.151845	10.411415	3.068876	7.473827
9.844	8.4375	0.355	0.688	32	1	40.19025	61.115515	33.688841	7.778415	3.002	10.918736
87.344	1.4375	0.73	0.888	27	0	44.312327	64.994275	31.602089	6.986683	3.50689	9.490355
48.594	4.9375	0.167	0.988	38	0	56.678557	71.792839	64.344671	9.152755	4.783702	8.294045
126.094	11.9375	0.542	0.788	27	1	38.129211	59.684238	30.914135	7.010287	3.180743	9.457904
29.219	3.1875	0.448	0.938	27	1	40.19025	61.645087	37.298929	7.827546	4.497232	9.585157
106.719	10.1875	0.073	0.738	32	0	42.251288	62.460915	44.687073	7.670368	3.500262	9.330233
67.969	13.6875	0.636	0.638	32	0	17.518827	46.001233	26.289676	7.007931	2.646905	11.205646
145.469	6.6875	0.261	0.838	38	1	64.922711	76.430176	57.86882	9.561131	2.910233	7.827295
19.531	7.5625	0.683	0.763	38	1	38.129211	61.530585	38.50606	8.098875	2.858958	9.494782
97.031	14.5625	0.308	0.963	27	0	34.007134	59.6413	38.938804	7.227041	4.698833	9.62792
58.281	11.0625	0.495	0.863	38	0	45.342846	65.294843	46.338803	8.168004	3.575257	9.14574
135.781	4.0625	0.12	0.663	32	1	48.434403	67.155503	41.554654	7.991098	2.864354	8.595015
38.906	12.8125	0.214	0.813	27	1	25.762981	51.110891	32.628244	7.306063	4.275154	10.291318
116.406	5.8125	0.589	0.613	32	0	34.007134	59.841679	30.888167	7.00544	2.394097	9.76865
77.656	2.3125	0.402	0.713	32	0	39.15973	61.902717	36.414308	7.456717	3.119331	9.747299
155.156	9.3125	0.777	0.913	38	1	62.861673	75.82904	48.803297	8.733449	2.661182	7.837831
7.422	12.15625	0.765	0.869	27	0	47.403884	62.890298	27.294517	6.935947	3.32752	10.480067
84.922	5.15625	0.39	0.669	38	1	45.342846	64.207073	39.385904	8.469466	2.644581	9.574182
46.172	1.65625	0.577	0.769	32	1	39.15973	61.072577	36.594025	7.856796	3.359698	9.585616
123.672	8.65625	0.202	0.969	38	0	65.95323	77.260316	67.310026	9.488811	3.522221	7.822272
26.797	6.90625	0.109	0.719	32	0	32.976615	57.551636	39.40795	7.623532	3.600655	10.258021
104.297	13.90625	0.484	0.919	27	1	35.037654	59.669926	36.374766	7.31491	4.065023	9.748806
65.547	10.40625	0.296	0.819	38	1	42.251288	64.292949	48.185703	8.829205	3.578444	9.532672
143.047	3.40625	0.671	0.619	27	0	34.007134	59.269168	24.53338	6.394512	2.554412	9.375715
17.109	4.28125	0.249	0.994	27	0	54.617519	68.271899	42.48843	7.425929	5.153205	9.159327
94.609	11.28125	0.624	0.794	32	1	35.037654	59.440921	34.630259	7.545088	3.075553	9.682712
55.859	14.78125	0.062	0.694	27	1	19.579865	44.269388	29.000028	7.097504	3.974259	11.008401
133.359	7.78125	0.437	0.894	38	0	63.892192	76.258423	56.787553	8.818723	2.84856	7.931035
36.484	9.53125	0.53	0.644	32	0	22.671423	48.963976	28.900493	7.175203	2.742733	11.091803
113.984	2.53125	0.155	0.844	27	1	50.495442	68.515216	42.178824	8.010275	4.159432	8.946117
75.234	6.03125	0.718	0.944	38	1	53.587	70.375875	47.583084	8.934314	3.314883	8.555695
152.734	13.03125	0.343	0.744	32	0	47.403884	65.824415	39.682198	7.301442	3.02525	8.667713
12.266	4.71875	0.507	0.831	27	0	44.312327	63.491434	31.444567	7.045546	3.692004	9.966398
89.766	11.71875	0.132	0.631	38	1	39.15973	59.913243	39.118904	8.275416	2.809723	9.993269
51.016	8.21875	0.695	0.731	27	1	23.701942	49.593738	24.558196	7.144649	3.093341	11.394588
128.516	1.21875	0.32	0.931	32	0	64.922711	76.931123	55.121038	8.265795	3.620902	7.817638
31.641	13.46875	0.413	0.781	38	0	32.976615	58.381777	42.537694	7.983371	3.287341	9.790612
109.141	6.46875	0.788	0.981	32	1	55.648038	71.978905	44.718895	8.108064	3.333302	8.555296
70.391	2.96875	0.226	0.881	38	1	56.678557	72.079095	57.38032	9.79772	3.984526	8.540509
147.891	9.96875	0.601	0.681	27	0	34.007134	58.281587	26.462201	6.444898	2.80025	9.330793
21.953	10.84375	0.179	0.906	32	0	38.129211	60.915136	46.931901	7.964301	4.445131	9.900888
99.453	3.84375	0.554	0.706	38	1	48.434403	67.914079	43.166287	8.556691	2.575624	9.139746
60.703	7.34375	0.366	0.606	27	1	19.579865	45.027965	23.794633	7.16565	2.984415	11.678431
138.203	14.34375	0.741	0.806	38	0	52.55648	69.631611	41.79233	7.711989	2.511886	8.476465
41.328	2.09375	0.648	0.656	38	0	34.007134	60.457128	35.468651	7.51822	2.645751	9.61746
118.828	9.09375	0.273	0.856	32	1	50.495442	69.946492	48.403814	8.257234	3.569659	8.577778
80.078	12.59375	0.46	0.956	32	1	44.312327	63.93513	43.424204	8.045226	3.996028	9.216698
157.578	5.59375	0.085	0.756	27	0	49.464923	67.255692	38.096475	6.987639	3.741759	8.547404
6.211	10.296875	0.443	0.753	27	1	48.434403	63.305368	27.981942	7.317344	3.331076	10.659138
83.711	3.296875	0.068	0.953	32	0	57.709076	72.207909	55.514352	8.402048	4.639943	8.457842
44.961	6.796875	0.63	0.853	27	0	29.885057	55.204342	29.989911	6.939379	3.754075	10.050218
122.461	13.796875	0.255	0.653	38	1	43.281807	63.176553	42.310168	8.058164	2.598381	8.93523
25.586	1.546875	0.349	0.803	32	1	40.19025	62.289162	42.406001	8.160844	3.768686	9.253835
103.086	8.546875	0.724	0.603	27	0	20.610384	48.620469	22.221944	6.643138	2.513489	11.205711
64.336	12.046875	0.161	0.703	38	0	35.037654	58.610781	42.998926	8.088142	3.257806	9.96358
141.836	5.046875	0.536	0.903	32	1	61.831153	74.397763	47.261262	8.309221	3.283776	7.962386
15.898	5.921875	0.208	0.678	27	1	38.129211	56.9505	28.774152	7.503705	3.338024	11.190316
93.398	12.921875	0.583	0.878	38	0	49.464923	67.599198	45.011657	8.245401	3.113628	9.387581
54.648	9.421875	0.396	0.978	32	0	44.312327	64.86546	46.911063	7.853181	4.630599	9.150579
132.148	2.421875	0.771	0.778	38	1	61.831153	75.070463	43.968332	8.610684	2.284242	8.098973
35.273	14.671875	0.677	0.928	32	1	29.885057	56.220549	37.311716	7.499214	3.76822	9.67221
112.773	7.671875	0.302	0.728	27	0	35.037654	60.199498	32.859983	6.970213	3.406592	10.030063
74.023	4.171875	0.489	0.628	38	0	40.19025	61.630775	35.63508	7.617945	2.710747	9.763457
151.523	11.171875	0.114	0.828	32	1	54.617519	70.76232	49.309617	8.301764	3.555166	8.269636
11.055	2.859375	0.747	0.741	32	1	45.342846	64.636456	31.863162	7.603999	2.816415	10.174692
88.555	9.859375	0.372	0.941	38	0	54.617519	71.034263	53.999454	8.826666	3.588931	8.561303
49.805	13.359375	0.56	0.841	27	0	21.640904	48.720659	28.919922	6.96553	3.795788	10.960139
127.305	6.359375	0.185	0.641	38	1	50.495442	69.302418	45.559406	8.576464	2.44757	8.562419
30.43	8.109375	0.091	0.891	38	1	50.495442	68.586779	57.997723	9.422075	4.316764	8.757218
107.93	1.109375	0.466	0.691	32	0	45.342846	66.425552	38.28891	7.315655	2.934276	9.15702
69.18	4.609375	0.279	0.791	32	0	36.068173	62.3321	41.452052	7.631092	3.835474	9.228905
146.68	11.609375	0.654	0.991	27	1	48.434403	68.472277	37.115685	7.225158	3.840865	8.442809
20.742	12.484375	0.325	0.616	27	1	16.488308	39.646365	23.578731	7.054294	2.993215	11.74619
98.242	5.484375	0.7	0.816	38	0	53.587	71.148765	45.077301	8.062394	2.742665	8.756923
59.492	1.984375	0.138	0.916	27	0	41.220769	63.93513	42.103929	7.491137	5.175516	9.755764
136.992	8.984375	0.513	0.716	32	1	43.281807	65.065839	36.578665	7.53354	2.665132	8.827652
40.117	7.234375	0.607	0.966	38	1	50.495442	68.400713	50.885093	8.998396	3.767209	8.657683
117.617	14.234375	0.232	0.766	32	0	41.220769	62.131721	42.067425	7.436632	3.351158	9.179869
78.867	10.734375	0.794	0.666	38	0	31.946096	55.977232	30.907448	7.4152	2.3447	10.289488
156.367	3.734375	0.419	0.866	27	1	56.678557	71.220329	38.693229	7.683782	3.695033	8.502194
8.633	6.578125	0.384	0.922	38	0	65.95323	74.984586	53.953051	8.552546	3.79192	8.669393
86.133	13.578125	0.759	0.722	27	1	15.457788	46.201612	22.444727	6.787216	2.868514	10.869435
47.383	10.078125	0.196	0.622	32	1	26.7935	51.125204	32.053512	7.573982	3.06301	10.952682
124.883	3.078125	0.571	0.822	27	0	48.434403	67.828203	34.27556	6.951795	3.261402	9.024402
28.008	11.828125	0.478	0.672	32	0	22.671423	47.990708	30.305437	7.245685	2.911421	11.139713
105.508	4.828125	0.103	0.872	38	1	61.831153	74.998899	64.867563	10.125329	3.565586	8.183688
